Date,USA,UK,FRA,DE,DJAI,FTSE 100,CAC40,DAX 30,year
2006/6/26,0.007026992,0.000961539,0.009147955,0.006094925,0.001416106,0.003102315,0.008578922,0.000212993,1
2006/6/27,-0.007661057,-0.017450758,-0.015293416,-0.01883955,-0.00168213,-0.01605858,0.016750406,-0.007885348,2
2006/6/28,-0.007640308,0.005850821,0.004442174,0.00880675,-0.002428042,0.012003731,0.007406793,-0.004715367,3
2006/6/29,0.007957391,-0.005361943,-0.009179404,-0.003953442,0.001707804,0.007892816,-0.002392568,0.022772117,4
2006/6/30,0.012288457,0.016481226,0.013941318,0.022629338,0.008395646,-0.003894879,-0.008303133,0.037394883,5
2006/7/3,0.005075955,0.008616616,0.014485684,0.003436429,0.006008112,-0.006900918,0.014082608,0.006016206,6
2006/7/4,-0.017919373,-0.013435903,-0.015843918,-0.021235901,-0.016464831,-0.003572108,-0.008193087,0.003009003,7
2006/7/5,0.01111955,0.008658063,0.008458856,0.012189964,0.006637123,-0.012745995,0.01866481,-0.024008757,8
2006/7/6,0.009522395,0.001913876,0.009055906,0.008187936,0.008201186,-0.01234516,-0.020189687,0.015085216,9
2006/7/7,0.002095217,0.015180557,0.009636227,0.003427595,-0.001102712,-0.010347026,0.001249839,0.002687263,10
2006/7/10,-0.014680882,-0.022376558,-0.018355263,-0.02468192,-0.017864193,-0.000427934,0.015257483,-0.00250989,11
2006/7/11,-0.002441619,-0.011135433,-0.011858516,-0.01501795,-0.004224785,0.02634995,-0.018585746,-0.015319618,12
2006/7/12,-0.007519725,-0.007820177,-0.014764217,-0.011188302,-0.006496158,0.001913219,-0.00143238,0.000254831,13
2006/7/13,-0.000874369,-0.016324874,-0.021325751,-0.020000667,0.000724289,-0.00410824,0.012556635,-0.021218177,14
2006/7/14,-0.003185984,-0.001997005,-0.004249298,-0.009225158,-0.0042967,0.015723006,0.017241103,-0.022272494,15
2006/7/17,-0.010908907,-0.003504384,-0.008911127,-0.015410064,-0.009162369,-0.00197044,0.009730742,-0.010268611,16
2006/7/18,-0.011681807,-0.029002287,-0.019158367,-0.027673522,-0.008041452,0.009564415,0.00053062,-0.006117347,17
2006/7/19,0.007722046,0.013333531,0.002551487,0.013932486,0.010294166,0.015341293,-0.00435307,0.034022214,18
2006/7/20,0.020992679,0.039945401,0.034350426,0.036538022,0.018163654,0.008700844,0.001481937,0.003873969,19
2006/7/21,-0.011724025,-0.012312394,-0.010963859,-0.011100947,-5.81033E-05,-0.005686445,-0.003306444,-0.013055673,20
2006/7/24,-0.007893082,-0.005465852,-0.004669491,-0.004662013,-0.006598477,-0.004251487,-0.010573022,0.019008785,21
2006/7/25,0.003390381,0.008928631,0.011403523,0.013460403,0.002986732,0.009644966,0.004890933,-0.006569596,22
2006/7/26,0.007386625,0.008360019,0.013682024,0.019630852,0.009487563,-0.010502329,-0.001354981,0.009688888,23
2006/7/27,-0.004409355,-0.005893927,-0.004539907,-0.005439723,-0.005461905,0.020181976,0.009950473,0.018558305,24
2006/7/28,-0.000160707,-0.006920443,-0.00070028,-0.002275314,-0.002728076,-0.010709698,1.94259E-05,0.010120078,25
2006/7/31,0.004410062,0.005441517,0.008718451,0.001820665,0.005100225,-0.002833436,0.008957406,-0.002707604,26
2006/8/1,-0.008678238,-0.014910813,-0.019635975,-0.01558235,-0.010973245,0.008362058,-0.005460604,-0.011126688,27
2006/8/2,0.006756239,0.010956285,0.014414031,0.000923361,0.004458801,-0.016408398,0.006913034,0.013349605,28
2006/8/3,0.019999079,0.033125289,0.034645894,0.042463471,0.019603269,0.000332497,0.006300203,-0.006893668,29
2006/8/4,-0.000314342,0.008587839,0.009729988,0.014489825,-0.003632784,0.008161515,-0.010374546,0.021847752,30
2006/8/7,0.00447007,0.001898434,0.009305484,0.014712511,0.006953211,0.00670235,-0.014115109,-0.020243213,31
2006/8/8,-0.005728426,-0.009049836,-0.02410562,-0.024349029,-0.006809726,0.002152503,-0.012853885,0.003387594,32
2006/8/9,0.00290755,0.006676229,0.011455651,0.010072343,0.006567446,-0.004160125,-0.003239758,0.012773324,33
2006/8/10,-0.00653417,-0.001426873,-0.00470115,-0.007874056,-0.012065945,-0.004372345,-0.000962866,-0.02156459,34
2006/8/11,0.001893791,0.004748347,0.004366086,0.005256254,0.001160663,0.00957296,0.011947908,-0.003675086,35
2006/8/14,0.004404947,0.001420119,0.002343097,-0.004817176,0.002807768,-0.00535715,0.003669974,0.011555853,36
2006/8/15,-0.010731579,-0.021999931,-0.016518157,-0.017715255,-0.010979908,-0.005550366,7.93079E-06,0.018628199,37
2006/8/16,-0.016397088,-0.012162641,-0.018525401,-0.020768241,-0.015269651,0.000335215,-0.00299633,0.011619034,38
2006/8/17,-0.003878479,-0.000489596,-0.008694195,-0.010087202,-0.00990852,0.000240289,0.004114186,0.002598343,39
